Id,rating
802553,3
802554,3
802555,3
802556,3
802557,2
802558,2
802559,3
802560,3
802561,3
802562,3
802563,4
802564,5
802565,4
802566,4
802567,4
802568,4
802569,4
802570,4
802571,4
802572,4
802573,4
802574,4
802575,4
802576,4
802577,5
802578,4
802579,5
802580,4
802581,4
802582,4
802583,4
802584,4
802585,4
802586,4
802587,3
802588,3
802589,4
802590,3
802591,4
802592,4
802593,4
802594,4
802595,4
802596,4
802597,3
802598,4
802599,3
802600,4
802601,4
802602,4
802603,4
802604,4
802605,4
802606,4
802607,3
802608,4
802609,4
802610,4
802611,4
802612,4
802613,3
802614,4
802615,4
802616,4
802617,4
802618,3
802619,4
802620,3
802621,4
802622,3
802623,4
802624,4
802625,4
802626,4
802627,3
802628,4
802629,4
802630,4
802631,4
802632,4
802633,3
802634,4
802635,3
802636,4
802637,4
802638,4
802639,4
802640,4
802641,4
802642,4
802643,4
802644,4
802645,4
802646,4
802647,3
802648,4
802649,4
802650,4
802651,4
802652,4
802653,4
802654,4
802655,4
802656,4
802657,4
802658,4
802659,4
802660,4
802661,3
802662,4
802663,4
802664,4
802665,4
802666,3
802667,4
802668,4
802669,4
802670,4
802671,4
802672,4
802673,3
802674,4
802675,4
802676,4
802677,4
802678,3
802679,4
802680,4
802681,4
802682,4
802683,4
802684,4
802685,4
802686,4
802687,4
802688,4
802689,4
802690,3
802691,4
802692,4
802693,4
802694,4
802695,4
802696,4
802697,4
802698,4
802699,4
802700,4
802701,4
802702,4
802703,3
802704,3
802705,4
802706,4
802707,3
802708,4
802709,3
802710,3
802711,4
802712,3
802713,3
802714,3
802715,3
802716,4
802717,3
802718,3
802719,3
802720,3
802721,3
802722,3
802723,3
802724,3
802725,4
802726,3
802727,3
802728,4
802729,3
802730,3
802731,3
802732,4
802733,3
802734,3
802735,4
802736,3
802737,3
802738,3
802739,3
802740,4
802741,3
802742,3
802743,3
802744,3
802745,3
802746,4
802747,3
802748,3
802749,3
802750,3
802751,3
802752,3
802753,4
802754,3
802755,3
802756,4
802757,3
802758,3
802759,4
802760,3
802761,3
802762,3
802763,3
802764,3
802765,4
802766,3
802767,3
802768,3
802769,3
802770,3
802771,3
802772,3
802773,3
802774,3
802775,3
802776,4
802777,3
802778,3
802779,3
802780,4
802781,3
802782,3
802783,3
802784,3
802785,3
802786,3
802787,2
802788,3
802789,3
802790,3
802791,3
802792,3
802793,3
802794,4
802795,3
802796,3
802797,3
802798,3
802799,4
802800,3
802801,3
802802,3
802803,3
802804,3
802805,3
802806,3
802807,4
802808,3
802809,4
802810,3
802811,3
802812,3
802813,4
802814,3
802815,4
802816,3
802817,4
802818,3
802819,4
802820,4
802821,4
802822,4
802823,3
802824,4
802825,3
802826,3
802827,3
802828,4
802829,4
802830,4
802831,4
802832,3
802833,4
802834,3
802835,4
802836,4
802837,4
802838,4
802839,3
802840,4
802841,3
802842,4
802843,4
802844,3
802845,4
802846,3
802847,3
802848,4
802849,3
802850,4
802851,3
802852,4
802853,3
802854,3
802855,3
802856,3
802857,4
802858,3
802859,3
802860,4
802861,4
802862,3
802863,4
802864,3
802865,3
802866,3
802867,4
802868,3
802869,3
802870,3
802871,4
802872,4
802873,4
802874,3
802875,4
802876,3
802877,3
802878,4
802879,4
802880,4
802881,4
802882,3
802883,4
802884,4
802885,4
802886,3
802887,4
802888,3
802889,4
802890,3
802891,4
802892,4
802893,3
802894,4
802895,4
802896,3
802897,3
802898,4
