Id,rating
802553,4
802554,4
802555,5
802556,5
802557,4
802558,5
802559,4
802560,3
802561,4
802562,3
802563,5
802564,3
802565,3
802566,4
802567,3
802568,3
802569,3
802570,3
802571,4
802572,4
802573,4
802574,3
802575,5
802576,4
802577,4
802578,2
802579,4
802580,3
802581,4
802582,5
802583,4
802584,5
802585,4
802586,4
802587,5
802588,5
802589,5
802590,3
802591,4
802592,4
802593,4
802594,5
802595,4
802596,3
802597,4
802598,5
802599,3
802600,5
802601,5
802602,5
802603,3
802604,3
802605,2
802606,4
802607,5
802608,2
802609,4
802610,3
802611,4
802612,5
802613,4
802614,5
802615,4
802616,2
802617,4
802618,3
802619,4
802620,3
802621,2
802622,1
802623,3
802624,4
802625,1
802626,4
802627,3
802628,3
802629,4
802630,4
802631,3
802632,4
802633,3
802634,3
802635,3
802636,2
802637,3
802638,4
802639,5
802640,4
802641,4
802642,4
802643,3
802644,4
802645,3
802646,3
802647,3
802648,4
802649,4
802650,4
802651,4
802652,5
802653,4
802654,3
802655,4
802656,5
802657,4
802658,4
802659,4
802660,3
802661,4
802662,4
802663,4
802664,3
802665,3
802666,3
802667,3
802668,3
802669,4
802670,4
802671,5
802672,4
802673,4
802674,3
802675,4
802676,3
802677,4
802678,3
802679,3
802680,5
802681,5
802682,4
802683,3
802684,5
802685,4
802686,4
802687,4
802688,4
802689,4
802690,4
802691,4
802692,4
802693,4
802694,2
802695,3
802696,4
802697,5
802698,4
802699,4
802700,4
802701,4
802702,3
802703,4
802704,4
802705,4
802706,3
802707,5
802708,5
802709,5
802710,3
802711,5
802712,4
802713,3
802714,4
802715,3
802716,4
802717,4
802718,4
802719,4
802720,4
802721,5
802722,5
802723,4
802724,4
802725,5
802726,4
802727,4
802728,4
802729,4
802730,4
802731,4
802732,4
802733,4
802734,4
802735,3
802736,3
802737,5
802738,4
802739,4
802740,3
802741,3
802742,1
802743,3
802744,4
802745,5
802746,4
802747,4
802748,3
802749,3
802750,3
802751,4
802752,4
802753,4
802754,4
802755,3
802756,4
802757,3
802758,4
802759,4
802760,4
802761,4
802762,3
802763,3
802764,2
802765,5
802766,3
802767,3
802768,3
802769,2
802770,4
802771,3
802772,4
802773,4
802774,4
802775,3
802776,4
802777,4
802778,3
802779,4
802780,3
802781,4
802782,4
802783,3
802784,4
802785,4
802786,4
802787,5
802788,3
802789,3
802790,3
802791,3
802792,1
802793,4
802794,3
802795,3
802796,3
802797,4
802798,3
802799,4
802800,3
802801,4
802802,4
802803,3
802804,3
802805,4
802806,5
802807,3
802808,4
802809,4
802810,2
802811,3
802812,5
802813,3
802814,3
802815,3
802816,3
802817,5
802818,4
802819,4
802820,5
802821,5
802822,2
802823,3
802824,4
802825,3
802826,5
802827,5
802828,3
802829,3
802830,3
802831,3
802832,4
802833,4
802834,3
802835,4
802836,4
802837,4
802838,4
802839,4
802840,3
802841,4
802842,4
802843,3
802844,5
802845,3
802846,1
802847,4
802848,4
802849,2
802850,4
802851,3
802852,4
802853,4
802854,4
802855,5
802856,4
802857,5
802858,4
802859,4
802860,2
802861,5
802862,4
802863,4
802864,3
802865,4
802866,4
802867,3
802868,3
802869,4
802870,3
802871,3
802872,5
802873,4
802874,4
802875,3
802876,3
802877,5
802878,3
802879,4
802880,4
802881,4
802882,4
802883,4
802884,3
802885,3
802886,1
802887,3
802888,3
802889,4
802890,4
802891,3
802892,3
802893,4
802894,4
802895,4
802896,4
802897,3
802898,3
802899,4
802900,3
802901,4
802902,3
802903,4
802904,4
802905,5
802906,3
802907,3
802908,3
802909,4
802910,3
802911,2
802912,5
802913,1
802914,4
802915,4
802916,4
802917,4
802918,4
802919,4
802920,5
802921,3
802922,4
802923,4
802924,2
802925,2
802926,4
802927,3
802928,4
802929,4
802930,4
802931,2
802932,5
802933,4
802934,5
802935,4
802936,3
802937,3
802938,4
802939,3
802940,5
802941,4
802942,4
802943,5
802944,2
802945,3
802946,4
802947,2
802948,5
802949,5
802950,3
802951,5
802952,1
802953,4
802954,3
802955,4
802956,4
802957,3
802958,3
802959,4
802960,2
802961,5
802962,4
802963,3
802964,4
802965,5
802966,3
802967,3
802968,5
802969,4
802970,5
802971,4
802972,4
802973,4
802974,5
802975,1
802976,4
802977,4
802978,4
802979,5
802980,2
802981,3
802982,3
802983,4
802984,4
802985,3
802986,4
802987,4
802988,4
802989,4
802990,1
802991,2
802992,3
802993,4
802994,3
802995,5
802996,4
802997,3
802998,4
802999,4
803000,4
803001,2
803002,4
803003,3
803004,3
803005,3
803006,4
803007,5
803008,4
803009,5
803010,3
803011,3
803012,3
803013,2
803014,1
803015,4
803016,5
803017,3
803018,4
803019,3
803020,4
803021,5
803022,4
803023,4
803024,5
803025,3
803026,5
803027,3
803028,5
803029,3
803030,5
803031,5
803032,5
803033,3
803034,5
803035,2
803036,4
803037,5
803038,1
803039,5
803040,4
803041,3
803042,1
803043,2
803044,2
803045,4
803046,4
803047,4
803048,4
803049,4
803050,2
803051,1
803052,2
803053,4
803054,3
803055,4
803056,3
803057,5
803058,4
